StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q110,att_1,att_2,comp_1,comp_2,auto_1,resp_software1_10,resp_human1_10,liable_firm1_1,liable_human1_1,liab_text1,comp_3,co_1,resp_software2_10,resp_human2_10,liab_firm2_1,liab_human2_1,liab_text2,comp_4,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,education,education_8_TEXT,license,ai_knowledge_1,PROLIFIC_PID
2023-08-13 17:00:39,2023-08-13 17:05:01,0,132.147.145.128,100,262,1,2023-08-13 17:05:01,R_2YDsAsm7VFbywQx,,,,,32.8476,-97.857,anonymous,EN,1,61046a696c859ee61168e90c,2,2,2,4,4,0,100,0,100,The human has the ability to physically pay attention to their surroundings,3,,,,,,,,2,,3,,32,3,,1,25,61046a696c859ee61168e90c
2023-08-13 17:01:26,2023-08-13 17:07:49,0,70.94.11.200,100,382,1,2023-08-13 17:07:49,R_2R9zQbWOB9D6jXE,,,,,38.9268,-94.7134,anonymous,EN,1,6402618738abc106f32f8928,2,2,2,4,,,,,,,,2,0,100,0,100,"Because copilot is in the name I assume it will be assisting the human driver not being completely in control of the vehicle. Based on that assumption, I believe the human driver is responsible for the accident. ",1,2,,3,,49,3,,1,35,6402618738abc106f32f8928
2023-08-13 17:00:54,2023-08-13 17:07:56,0,66.61.99.157,100,421,1,2023-08-13 17:07:57,R_3PFcQqlbe92f40z,,,,,42.1139,-80.1499,anonymous,EN,1,615212aaa4b41922e0765736,2,2,3,2,,,,,,,,3,65,44,65,40,The company would because they would be the ones who designed it.,1,2,,3,,53,2,,1,30,615212aaa4b41922e0765736
2023-08-13 17:02:11,2023-08-13 17:09:17,0,73.174.166.46,100,425,1,2023-08-13 17:09:18,R_ezypvxi4OlXJZi9,,,,,40.5672,-79.9708,anonymous,EN,1,5873f2ce1c35f20001955d4a,2,2,2,4,6,82,100,80,80,I believe the human is more liable for the accident because regardless of whether or not he vehicle has the ability to drive itself its on the driver occupying the vehicle to ensure the vehicle is performing its tasks.,2,,,,,,,,1,,3,,28,3,,1,64,5873f2ce1c35f20001955d4a
2023-08-13 17:00:00,2023-08-13 17:09:26,0,98.255.88.203,100,565,1,2023-08-13 17:09:26,R_1HivjVA3luPQv6q,,,,,38.581,-121.4939,anonymous,EN,1,583d5dd49c5f2a0001b85f40,2,2,2,4,5,32,96,16,79,"I think the human driver is more liable because while the company has developed an autopilot system, but it is not perfect.  The human driver should still be watching and monitoring regardless of the vehicle being on autopilot to ensure a really safe drive. ",2,,,,,,,,2,,2,,27,4,,1,25,583d5dd49c5f2a0001b85f40
2023-08-13 17:05:57,2023-08-13 17:09:55,0,174.60.7.54,100,238,1,2023-08-13 17:09:56,R_XSP06cRPlws9O6d,,,,,41.1408,-77.444,anonymous,EN,1,6122548871de12f3a454e5cb,2,2,2,4,2,34,100,61,100,"I think the human is more liable because you cannot rely on just the autopilot alone. You are still operating the vehicle and own it, you have to pay attention while you are driving. ",3,,,,,,,,1,,3,,23,4,,1,60,6122548871de12f3a454e5cb
2023-08-13 17:07:02,2023-08-13 17:10:10,0,108.64.195.70,100,188,1,2023-08-13 17:10:11,R_1LG5SyCVT3j9tej,,,,,32.8545,-97.1359,anonymous,EN,1,5bf500e33968ce00018ef727,2,2,2,4,,,,,,,,4,80,40,80,36,"I think the company is responsible as the human is being driven by the copilot, who is in charge of acceleration/deceleration and therefore should have the system recognize environments that require speed changes or stops.",2,2,,2,,28,4,,1,50,5bf500e33968ce00018ef727
2023-08-13 17:08:12,2023-08-13 17:12:15,0,75.190.75.63,100,243,1,2023-08-13 17:12:16,R_25RSYnepkkCFdqI,,,,,35.8015,-80.8967,anonymous,EN,1,60e3cb01a5a92b6e1fc43ed5,2,2,2,4,6,18,100,9,100,I think the human should always keep his eyes on the road even when not controlling it,2,,,,,,,,1,,3,,24,1,,1,40,60e3cb01a5a92b6e1fc43ed5
2023-08-13 17:08:22,2023-08-13 17:12:18,0,47.230.56.116,100,236,1,2023-08-13 17:12:19,R_31cTEkdwRcSd2qi,,,,,40.6375,-74.0216,anonymous,EN,1,60fdf79ca1d455153d18ffd7,2,1,2,4,4,100,0,100,13,If Aeon is the one who is driving the vehicle and the human is not. The human is paying for the safety of their ride. The human is not driving and the companies invention is the one driving.,2,,,,,,,,2,,4,,21,1,,2,2,60fdf79ca1d455153d18ffd7
2023-08-13 17:11:02,2023-08-13 17:15:23,0,75.65.87.186,100,260,1,2023-08-13 17:15:23,R_xu9w3fHshvgnXsB,,,,,32.4771,-93.8726,anonymous,EN,1,60ea3db7bfbbaffc23f31f4f,2,2,3,2,,,,,,,,6,2,100,8,100,"The human driver is responsible because he's in control ~ not automation, and is capable of making decision.  We shouldn't read texts while driving anyway.",1,2,,1,,42,4,,1,30,60ea3db7bfbbaffc23f31f4f
2023-08-13 17:14:38,2023-08-13 17:16:31,0,216.238.179.51,100,113,1,2023-08-13 17:16:32,R_u84lfFd3diVE3f3,,,,,41.3569,-85.0497,anonymous,EN,1,63d4019999c9ab839156014c,2,2,2,4,6,81,62,76,62,I believe the company Aeon is more liable for the accident due to the fact that they advertise a safe autopilot car.,2,,,,,,,,2,,3,,20,3,,1,20,63d4019999c9ab839156014c
2023-08-13 17:15:17,2023-08-13 17:17:12,0,73.205.201.209,100,114,1,2023-08-13 17:17:12,R_3P6mhvGwjiQtQSo,,,,,25.7689,-80.1946,anonymous,EN,1,5be299deca095c0001ba3035,2,2,2,1,,,,,,,,5,81,24,20,78,I believe the human driver because when you know the risks you need to know what you are getting into.,2,1,,3,,26,3,,1,92,5be299deca095c0001ba3035
2023-08-13 17:13:24,2023-08-13 17:18:11,0,24.115.228.125,100,286,1,2023-08-13 17:18:12,R_XzzvUTLRApwt3Nv,,,,,41.1197,-75.3481,anonymous,EN,1,55eb4774748092000baa97ee,2,2,2,4,6,75,100,45,100,The human driver is liable for the accident because it was his fault the accident occurred. Technology sometimes fails but it's the driver's responsibility to pay attention when they controlling a vehicle whether it has self driving capabilities or not.,2,,,,,,,,2,,3,,34,4,,1,24,55eb4774748092000baa97ee
2023-08-13 17:15:44,2023-08-13 17:18:33,0,47.229.86.176,100,169,1,2023-08-13 17:18:33,R_1jBw7ZHMgoMDssD,,,,,34.0899,-118.0871,anonymous,EN,1,6108e0b9b254d1ce92a37b95,2,2,2,4,,,,,,,,5,82,100,86,100,The driver should always pay attention and not fully rely on the car,1,2,,3,,33,1,,2,20,6108e0b9b254d1ce92a37b95
2023-08-13 17:07:28,2023-08-13 17:18:39,0,104.137.48.48,100,670,1,2023-08-13 17:18:39,R_1CjNKqshebv3SC6,,,,,32.4973,-86.3649,anonymous,EN,1,60c063bcdc9c952bc4f50593,2,2,2,4,,,,,,,,4,10,100,10,100,"The car sensors should have seen the Stop sign, but the driver is mostly responsible because he should have been paying attention to his surroundings, and would have seen the stop sign, even if it was slightly obstructed.",2,2,,3,,62,4,,1,40,60c063bcdc9c952bc4f50593
2023-08-13 17:14:52,2023-08-13 17:18:46,0,68.9.227.29,100,234,1,2023-08-13 17:18:47,R_1mrQx06PD4kUJLj,,,,,41.9039,-72.5468,anonymous,EN,1,5ef659991d975d12c6e7c555,2,2,2,4,5,63,73,38,87,"The human driver is more at fault for not paying attention. Even with autopilot in a car the driver needs to be attentive in case the machine does not recognize a traffic cue.  ",3,,,,,,,,1,,2,,27,5,,1,40,5ef659991d975d12c6e7c555
2023-08-13 17:14:08,2023-08-13 17:18:57,0,98.196.178.6,100,289,1,2023-08-13 17:18:58,R_3gY1d79q58mCFrt,,,,,29.8143,-95.8049,anonymous,EN,1,5e7e9e07d29f755802057a29,2,2,2,4,5,79,61,91,72,"The technology should be advanced enough to notice even a simple stop sign. Although this was partially caused by human error, the standards are high enough that Aeon should take most of the responsibility for the accident.",2,,,,,,,,1,,2,,26,4,,1,32,5e7e9e07d29f755802057a29
2023-08-13 17:10:21,2023-08-13 17:19:12,0,67.175.17.158,100,530,1,2023-08-13 17:19:12,R_1QzOmMB8maeT8OM,,,,,42.1098,-86.4259,anonymous,EN,1,610772630431475d2a99a01a,2,1,2,4,6,95,75,95,100,"I believe Aeon, the company, is more liable for the accident because they made the car, and the car is supposed to be able to autopilot correctly, which it failed to do.",2,,,,,,,,2,,3,,21,4,,1,50,610772630431475d2a99a01a
2023-08-13 17:12:43,2023-08-13 17:19:27,0,76.147.219.190,100,404,1,2023-08-13 17:19:28,R_2vZAJDixeAWEu2O,,,,,47.6484,-117.191,anonymous,EN,1,5b48a9e14acd54000132a67f,2,2,2,4,,,,,,,,2,80,50,80,50,"Based on the way it was described (""is being driven home by"" ), I perceived that Aeon had more control that what I gathered (and answered on the previous page). Due to that, I felt like the blame was probably Aeon's fault, and most likely not the person's, though I would need to know more about the Aeon's actual advertised capabilities.",1,1,,3,,39,4,,1,70,5b48a9e14acd54000132a67f
2023-08-13 17:15:22,2023-08-13 17:19:42,0,100.35.186.61,100,259,1,2023-08-13 17:19:42,R_3M4msh1fQS5ztzf,,,,,40.6753,-74.2275,anonymous,EN,1,60c948db3f288a3058c67f98,2,2,2,4,,,,,,,,4,70,40,90,70,"While the driver in question should pay more attention to the road in case of emergencies, a quick look at the phone is understandable given that he purchased a self-driving car, that was most likely advertised to allow people to do just that and relax more on the road. The car has a built-in system that should allow it to prevent accidents like that yet it didnt, as the other driver didn't make a mistake, the AI car did. It means the car isn't doing what it was advertised to do and now makes people unsafe using its own functions.",1,1,,4,,24,3,,2,40,60c948db3f288a3058c67f98
2023-08-13 17:15:56,2023-08-13 17:19:54,0,172.2.167.231,100,237,1,2023-08-13 17:19:54,R_1rpQ41a7YZFNbmO,,,,,33.8081,-85.7852,anonymous,EN,1,631cd2d174d35f3489e933c4,2,2,2,4,,,,,,,,4,70,80,70,100,I think the human driver is more at fault for the accident because they decided to look away from the road while driving.,1,1,,2,,29,5,,1,70,631cd2d174d35f3489e933c4
2023-08-13 17:02:27,2023-08-13 17:20:11,0,76.32.109.113,100,1063,1,2023-08-13 17:20:11,R_1IDVWqy9wbQ2W2o,,,,,34.0544,-118.244,anonymous,EN,1,6122bff4706b6d848da00ec1,2,2,2,4,,,,,,,,4,80,70,81,80,"Even though the company is a copilot system the human has to be able to be alert at all times, you never now when a malfunction may happen ",1,2,,4,,26,4,,1,39,6122bff4706b6d848da00ec1
2023-08-13 17:17:33,2023-08-13 17:20:13,0,184.57.7.71,100,160,1,2023-08-13 17:20:14,R_3rSWFU1UFKqR106,,,,,39.9587,-82.9987,anonymous,EN,1,5c64c8c458987100010e9db7,2,2,2,4,,,,,,,,4,100,100,100,100,They are all equally liable.,1,2,,3,,63,5,,1,50,5c64c8c458987100010e9db7
2023-08-13 17:16:36,2023-08-13 17:20:38,0,12.229.13.226,100,241,1,2023-08-13 17:20:38,R_1ONeDeC0U4MwSlA,,,,,41.0996,-80.7523,anonymous,EN,1,5c8ef4072a1b22000198f6bf,2,2,2,4,4,100,0,100,0,cars being controlled by autopilot,2,,,,,,,,2,,3,,51,3,,1,2,5c8ef4072a1b22000198f6bf
2023-08-13 17:19:47,2023-08-13 17:20:47,0,67.2.32.160,100,60,1,2023-08-13 17:20:47,R_2Xo0tn1iUvUw7PO,,,,,40.7849,-111.9338,anonymous,EN,1,60fd0638ea398c6e93d6ba62,2,2,2,2,4,65,63,66,42,idk,3,,,,,,,,2,,3,,22,4,,1,61,60fd0638ea398c6e93d6ba62
2023-08-13 17:18:24,2023-08-13 17:20:59,0,73.191.252.29,100,154,1,2023-08-13 17:21:00,R_2mY0BnVmP8t4TG9,,,,,42.5758,-83.5924,anonymous,EN,1,5f0d0bb334aaaf7151fee628,2,2,2,4,,,,,,,,5,75,85,65,80,"The company released a product that was not proven safe. The driver was distracted and not obeying the law. ",1,2,,3,,29,4,,1,81,5f0d0bb334aaaf7151fee628
2023-08-13 17:15:58,2023-08-13 17:21:14,0,172.56.94.87,100,316,1,2023-08-13 17:21:14,R_3nHQNCdrfxiI5x3,,,,,30.2627,-97.7467,anonymous,EN,1,63ede400ea283f02067dadad,2,2,2,2,4,70,76,80,80,They are both liable for the accident because the person didn’t notice the stop sign due to them checking their phone and the machine didn’t know the stop sign would be there.,2,,,,,,,,2,,4,,20,3,,2,81,63ede400ea283f02067dadad
2023-08-13 17:17:01,2023-08-13 17:21:18,0,67.174.28.149,100,257,1,2023-08-13 17:21:19,R_uwutLdqcmoz1pip,,,,,28.5344,-81.3783,anonymous,EN,1,60fdff50093041437b3368c6,2,2,2,4,6,10,90,10,90,"Even if a car is autopilot, the human is still responsible for being aware of their surroundings. Technology can fail and it’s always good to have a backup",2,,,,,,,,2,,3,,26,5,,1,76,60fdff50093041437b3368c6
2023-08-13 17:18:01,2023-08-13 17:21:20,0,71.233.189.133,100,198,1,2023-08-13 17:21:20,R_vvrO4KaNS0kqYcV,,,,,42.3913,-70.9094,anonymous,EN,1,6078163f1e585e4f71e3b879,2,2,2,4,4,50,50,50,100,"The human, as the owner of the car, is liable for the accident.  The human is responsible for controlling the car even as they are allowing the AI to navigate.",2,,,,,,,,2,,3,,62,3,,1,60,6078163f1e585e4f71e3b879
2023-08-13 17:15:56,2023-08-13 17:21:27,0,174.236.98.253,100,330,1,2023-08-13 17:21:28,R_33Dtuikr0vOgEFn,,,,,33.7541,-117.474,anonymous,EN,1,6150252fa63316c3c7a24a65,2,1,1,2,,,,,,,,5,17,60,57,61,The person should never trust completely a newer AI invention,1,2,,3,,63,7,,1,64,6150252fa63316c3c7a24a65
2023-08-13 17:19:07,2023-08-13 17:21:56,0,23.122.45.67,100,168,1,2023-08-13 17:21:56,R_2E4Bqy9hUMkhzOl,,,,,29.4227,-98.4927,anonymous,EN,1,6283d4171ba3327d1dc0e05b,2,2,2,1,,,,,,,,4,32,72,39,81,Unless ya'll advertise as fully autonomous then it definitely the dude who wasn't paying attention,2,1,,3,,19,3,,1,72,6283d4171ba3327d1dc0e05b
2023-08-13 17:19:24,2023-08-13 17:22:31,0,68.4.136.68,100,187,1,2023-08-13 17:22:32,R_1ouIzhisfjAqhhC,,,,,33.6527,-117.5953,anonymous,EN,1,5d92832f82e59d001a0e7f1b,2,2,2,4,,,,,,,,4,0,100,9,92,I think it is bad and should not proceed.,1,2,,3,,56,4,,1,27,5d92832f82e59d001a0e7f1b
2023-08-13 17:19:52,2023-08-13 17:23:12,0,73.250.29.126,100,200,1,2023-08-13 17:23:13,R_1LUmYNTHJGH2HHy,,,,,38.894,-77.0365,anonymous,EN,1,602854edbf92e76fc9c56355,2,2,2,4,5,0,100,0,100,"The driver is responsible for ensuring that human(like) errors do not happen. Unless the car failed in an uncontrollable, non-human-correctable way (for example if the brakes failed), the human still bears responsibility",2,,,,,,,,1,,3,,25,5,,1,25,602854edbf92e76fc9c56355
2023-08-13 17:18:09,2023-08-13 17:23:37,0,96.249.216.149,100,328,1,2023-08-13 17:23:38,R_vJfZWe8i7rFygP7,,,,,41.7017,-73.9078,anonymous,EN,1,609ec5e8e5a3da020adefde8,2,2,2,4,3,71,33,51,51,"I honestly think that both the human driver, and Aeon the company are equally at fault, because there was obviously a bug/ malfunction in the program, and the human driver should always be alert no matter what.",2,,,,,,,,2,,1,,33,4,,1,9,609ec5e8e5a3da020adefde8
2023-08-13 17:21:44,2023-08-13 17:24:51,0,68.189.191.162,100,186,1,2023-08-13 17:24:52,R_3D8itpH2ImkUoqd,,,,,35.5055,-82.9912,anonymous,EN,1,5e86c320939b3030601f7fcb,2,2,2,4,,,,,,,,5,79,31,69,41,"The self driving failed, but the human is also at fault, just not as much",2,1,,3,,22,4,,1,35,5e86c320939b3030601f7fcb
2023-08-13 17:19:47,2023-08-13 17:25:11,0,68.229.217.54,100,323,1,2023-08-13 17:25:11,R_1KkBJp7bwJTyQ9P,,,,,35.4971,-97.733,anonymous,EN,1,640251127760d333fdfa7bb8,2,2,2,4,,,,,,,,4,10,90,10,90,"The human driver is responsible. The copilot is there to assist and make it easier, but a vehicle is too dangerous to give total control over. ",1,1,,3,,50,4,,1,10,640251127760d333fdfa7bb8
2023-08-13 17:19:49,2023-08-13 17:25:28,0,68.3.51.203,100,338,1,2023-08-13 17:25:28,R_27PxJPVkwDTKdGi,,,,,33.5339,-112.1722,anonymous,EN,1,60bc66147333d64eda50c3ce,2,2,2,4,,,,,,,,4,55,65,66,56,"I think the company is more liable if their copilot program is designed for cars to drive and presumably follow all traffic laws. The car likely did not behave as it was designed to. However, I do think the human driver was negligent and should have been overseeing operation of the vehicle.",1,4,Nonbinary,3,,37,3,,1,40,60bc66147333d64eda50c3ce
