StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q110,att_1,att_2,comp_1,comp_2,comp_3,words_1,level_1,level_2,hard_1_1,info_text,level_3,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,education,education_8_TEXT,license,ai_knowledge_1,PROLIFIC_PID,clicked
2023-07-28 08:30:40,2023-07-28 08:30:40,Survey Test,,100,0,True,2023-07-28 08:30:41,R_0xIQKEMmAt6lDU2,,,,,,,test,,I agree,Mi? Metus nibh cursus neque curabitur facilisi ligula cras imperdiet.,Paul,Purple,Different types of vehicles based on how many driving tasks are controlled by humans vs. machines,"MACHINE, MACHINE, MACHINE, MACHINE",Risus quam imperdiet mauris proin ultrices ridiculus. Lectus dolorem rhoncus. Odio mauris.,Dapibus ante lorem. Rhoncus! Temporibus montes sollicitudin maecenas pede vulputate egestas dui ab nibh accumsan.,Yes,Level 3,15,"Platea aliquam, ligula. Sed? Dui eu imperdiet vehicula justo nec suscipit. Arcu. Ligula dictumst.",,Female,,Asian,,"Odio ut nulla, leo, auctor lacus vel vel vel porta amet ac rhoncus fermentum.",Other (please specify),Est? Augue! Laoreet. Porta? Est? Eros maecenas luctus leo praesent massa.,Yes,61,,0
2023-07-28 08:30:41,2023-07-28 08:30:41,Survey Test,,100,0,True,2023-07-28 08:30:41,R_a9Pxgft9e9yq3t4,,,,,,,test,,I disagree,Proin eros lorem? Id convallis! Facilisi metus integer aliquet tortor.,,,,,,,,,,,,,,,,,,,,,,
2023-07-28 08:30:41,2023-07-28 08:30:41,Survey Test,,100,0,True,2023-07-28 08:30:41,R_ahLfhgpxQT74EzY,,,,,,,test,,I agree,Per tempus porttitor quis. Donec ullamcorper ipsum ligula accusamus dictumst.,Both John and Paul,Green,,,,,,,,,,,,,,,,,,,,
2023-07-28 08:30:41,2023-07-28 08:30:41,Survey Test,,100,0,True,2023-07-28 08:30:41,R_baokA5CH3C3Pg7Y,,,,,,,test,,I disagree,"Erat vel ante tincidunt mattis mattis et? Convallis augue dignissim, nunc molestie.",,,,,,,,,,,,,,,,,,,,,,
2023-07-28 08:30:41,2023-07-28 08:30:41,Survey Test,,100,0,True,2023-07-28 08:30:42,R_8iB86vMa1C5QQhE,,,,,,,test,,I disagree,Molestie suspendisse cras tortor sodales ultricies venenatis ipsum vehicula praesent odio suspendisse fermentum dolorem.,,,,,,,,,,,,,,,,,,,,,,
2023-07-28 08:30:42,2023-07-28 08:30:42,Survey Test,,100,0,True,2023-07-28 08:30:42,R_3KphXiyoRpDy5Uy,,,,,,,test,,I agree,"At. Massa. Sodales? Elementum nunc facilisi fusce urna duis! Viverra curabitur, risus.",John,Purple,Different types of vehicles based on how many driving tasks are controlled by humans vs. machines,"HUMAN, MACHINE, MACHINE, HUMAN","Diam vel elementum sed non. Dignissim dictumst, morbi eleifend maecenas diam etiam! Imperdiet dolorem.","Suscipit interdum accumsan vulputate ut morbi vestibulum iaculis arcu, sem morbi natoque iaculis.",No,,,,Level 3,Female,,White or European,,Culpa curabitur curabitur lorem pharetra venenatis. Euismod. Eu vitae. Eleifend cursus nec eu volutpat purus.,Masters Degree (MS),,No,85,,0
2023-07-28 08:30:42,2023-07-28 08:30:42,Survey Test,,100,0,True,2023-07-28 08:30:42,R_cPj50F6Gkzmej1I,,,,,,,test,,I disagree,Fermentum sagittis quam accumsan. Imperdiet risus erat vitae metus aliquam per dui? Enim.,,,,,,,,,,,,,,,,,,,,,,
2023-07-28 08:30:42,2023-07-28 08:30:42,Survey Test,,100,0,True,2023-07-28 08:30:42,R_6QLmCAO6JAzzu86,,,,,,,test,,I agree,Ligula scelerisque luctus bibendum nibh sodales fringilla eget ante fermentum.,Neither John nor Paul,Purple,Six people’s preferences for humans vs. machines,"MACHINE, HUMAN, HUMAN, MACHINE",Malesuada. Neque justo egestas ut purus felis eros massa ligula.,Pellentesque vehicula justo potenti viverra proin atque! Scelerisque montes! Augue fringilla.,Yes,Level 4,30,Ab! Dictumst consequat non vivamus dolorem sagittis commodo pede accumsan.,,Other (please specify),Dignissim nullam venenatis. Amet! Metus tempor. Eleifend! Vel aliquet per facilisis. Placerat.,Other (please specify),Eleifend tempora neque ante convallis quis pretium laoreet at felis.,"Sagittis etiam mattis facilisi vulputate odio in aenean urna orci proin. Ab? Enim, donec morbi.",Doctoral Degree (PhD),,No,91,,0
2023-07-28 08:30:42,2023-07-28 08:30:42,Survey Test,,100,0,True,2023-07-28 08:30:43,R_elm6fcpaGDSddmC,,,,,,,test,,I agree,Integer elementum odio praesent laoreet fringilla fringilla metus id sed suscipit mi! Vitae.,Paul,Green,The number of typical daily tasks controlled by humans vs. machines,"MACHINE, HUMAN, HUMAN, MACHINE",Nulla facilisis faucibus? Maecenas eget leo velit accumsan lectus eget rutrum nullam.,"Et aenean tincidunt nec ridiculus, commodo fusce iaculis scelerisque, egestas turpis eleifend proin convallis.",Yes,Level 6,19,Sed? Nulla vel risus. Ligula in laoreet diam? Venenatis nonummy blandit.,,Female,,Mixed,,Aenean felis pharetra rhoncus pretium vitae vel! Dolor imperdiet auctor eleifend per.,College Graduate (4 year),,Yes,69,,0
2023-07-28 08:30:43,2023-07-28 08:30:43,Survey Test,,100,0,True,2023-07-28 08:30:43,R_3yYMJp6EWTu7mf4,,,,,,,test,,I agree,"Sed, tortor curabitur aenean accumsan? Egestas sed odio molestie interdum.",Neither John nor Paul,Purple,Six people’s preferences for humans vs. machines,"HUMAN, HUMAN, HUMAN, HUMAN",Facilisi morbi at accusamus. Et rutrum. Imperdiet viverra duis turpis magna. Pretium montes primis.,Ipsum tortor auctor cursus accumsan rutrum consectetuer malesuada vel turpis.,No,,,,Level 2,Male,,Mixed,,Dictumst curabitur est auctor leo arcu a viverra faucibus faucibus vestibulum sollicitudin? Iaculis.,High School or Equivalent,,Yes,55,,0
2023-07-28 08:30:43,2023-07-28 08:30:43,Survey Test,,100,0,True,2023-07-28 08:30:43,R_0H5voQG7vlTrTtI,,,,,,,test,,I disagree,Turpis lacus nonummy etiam atque gravida ullamcorper. Tortor. Maecenas ullamcorper posuere? Auctor.,,,,,,,,,,,,,,,,,,,,,,
2023-07-28 08:30:43,2023-07-28 08:30:43,Survey Test,,100,0,True,2023-07-28 08:30:43,R_7WGNAwJkYs0FEea,,,,,,,test,,I agree,Lacus molestie. Posuere dolor. Phasellus culpa ante fringilla neque! Donec! Pharetra velit primis orci aenean.,Paul,Purple,Different types of vehicles based on how many driving tasks are controlled by humans vs. machines,"HUMAN, HUMAN, HUMAN, HUMAN",Nonummy elit per commodo dui purus aliquet erat felis eros ut.,Ultrices dignissim quis. Eu nunc quis rutrum convallis est nunc.,Yes,Level 1,88,"Mi maecenas, cras culpa enim? Neque facilisi sapien quam. Laoreet sodales in.",,Female,,Hispanic or Latino,,Donec nonummy? Primis fringilla. Dolorem eu faucibus pretium pharetra arcu luctus praesent tellus ab.,Some College,,Yes,78,,0
2023-07-28 08:30:43,2023-07-28 08:30:43,Survey Test,,100,0,True,2023-07-28 08:30:44,R_2azIC0xspOJEX7o,,,,,,,test,,I disagree,"Augue. Aenean tortor! Eu montes metus, commodo gravida metus felis sollicitudin.",,,,,,,,,,,,,,,,,,,,,,
2023-07-28 08:30:44,2023-07-28 08:30:44,Survey Test,,100,0,True,2023-07-28 08:30:44,R_0OkFN0Cd59OOwiW,,,,,,,test,,I disagree,"Pretium nullam odio at, leo at venenatis! Auctor vivamus. Ipsum! Purus dolor commodo.",,,,,,,,,,,,,,,,,,,,,,
2023-07-28 08:30:44,2023-07-28 08:30:44,Survey Test,,100,0,True,2023-07-28 08:30:44,R_aXX6OzwH1NOBeXI,,,,,,,test,,I disagree,"Ab! Natoque augue, quis? Suspendisse temporibus aliquam odio quis arcu augue fusce dignissim, ridiculus interdum.",,,,,,,,,,,,,,,,,,,,,,
2023-07-28 08:30:44,2023-07-28 08:30:44,Survey Test,,100,0,True,2023-07-28 08:30:44,R_6zHtAowBvKMxW3I,,,,,,,test,,I agree,Scelerisque quam praesent ab magna felis. In ultricies ullamcorper. Dapibus? Vestibulum primis cursus montes.,Both John and Paul,Purple,The number of typical daily tasks controlled by humans vs. machines,"MACHINE, HUMAN, HUMAN, MACHINE","Lorem, tortor platea at convallis primis ridiculus aliquet, purus ipsum! Vehicula molestie odio maecenas.","Malesuada id, nullam? Vulputate, gravida tempor posuere atque facilisis, duis eu proin magnis porttitor.",Yes,Level 5,57,Nunc dignissim eleifend euismod arcu fermentum ac aliquam vehicula dolorem accumsan.,,Other (please specify),Malesuada dignissim eget mattis. Donec integer duis. Natoque vestibulum mi curabitur.,Prefer Not to Say,,"Mauris nulla vel? Temporibus. Integer, porttitor rhoncus. Maecenas wisi nullam vivamus convallis! Ridiculus? Nibh.","Professional Degree (MD, JD, etc.)",,Yes,33,,0
2023-07-28 08:30:44,2023-07-28 08:30:44,Survey Test,,100,0,True,2023-07-28 08:30:45,R_20pefUZCJasyeKW,,,,,,,test,,I agree,"Ipsum turpis malesuada pharetra gravida consequat primis, molestie lorem gravida ullamcorper eros, laoreet.",Neither John nor Paul,Purple,Six people’s preferences for humans vs. machines,"HUMAN, HUMAN, HUMAN, HUMAN","Quam donec molestie nonummy accusamus rhoncus blandit! Sagittis, non? Integer.",Orci posuere montes convallis eu enim! Purus! Temporibus bibendum justo. Sed.,No,,,,Level 5,Female,,White or European,,Potenti at venenatis! Nibh rutrum donec etiam nulla! Tellus commodo velit risus consequat culpa.,"Professional Degree (MD, JD, etc.)",,Yes,59,,0
2023-07-28 08:30:45,2023-07-28 08:30:45,Survey Test,,100,0,True,2023-07-28 08:30:45,R_009cd4QgMWGQn4O,,,,,,,test,,I agree,Dolor consequat malesuada blandit ultricies porttitor nulla porttitor at posuere rutrum scelerisque viverra eu aliquam.,John,Green,,,,,,,,,,,,,,,,,,,,
2023-07-28 08:30:45,2023-07-28 08:30:45,Survey Test,,100,0,True,2023-07-28 08:30:45,R_cuRzVBLxtiUSKy2,,,,,,,test,,I disagree,Scelerisque fringilla augue risus pretium culpa felis aliquam elit porta.,,,,,,,,,,,,,,,,,,,,,,
2023-07-28 08:30:45,2023-07-28 08:30:45,Survey Test,,100,0,True,2023-07-28 08:30:45,R_eqvCYzybUjQNU2i,,,,,,,test,,I agree,"Dui vehicula? At, dolor diam? Molestie leo! Integer temporibus. Nullam, augue consequat. Mattis pellentesque.",John,Green,,,,,,,,,,,,,,,,,,,,
2023-07-28 08:30:45,2023-07-28 08:30:45,Survey Test,,100,0,True,2023-07-28 08:30:45,R_2tqMA2aWUqDsSxw,,,,,,,test,,I agree,Ridiculus. Fringilla nonummy bibendum tellus nonummy pharetra velit curabitur posuere ullamcorper. Primis est dolorem? Rutrum.,Neither John nor Paul,Purple,Six people’s preferences for humans vs. machines,"MACHINE, MACHINE, MACHINE, MACHINE",Augue ante mauris nibh fringilla est ridiculus ligula turpis tempor. Vestibulum! Elementum nullam ultrices.,"Auctor non posuere lectus tempus accusamus facilisis ultrices vehicula proin scelerisque, morbi, dolorem nunc.",No,,,,Level 5,Male,,Asian,,Tortor? Iaculis facilisis elementum mauris platea consectetuer. Porttitor ut quis praesent integer sagittis.,Some College,,No,66,,0
2023-07-28 08:30:46,2023-07-28 08:30:46,Survey Test,,100,0,True,2023-07-28 08:30:46,R_0dhc11W85rpYRbU,,,,,,,test,,I agree,Natoque in dignissim rutrum. Aliquam sit gravida elit nulla tortor venenatis. Porttitor curabitur pellentesque imperdiet.,Neither John nor Paul,Purple,The number of typical daily tasks controlled by humans vs. machines,"HUMAN, MACHINE, MACHINE, HUMAN",Fermentum auctor dui ac eros ac in. Lorem a. Dapibus.,Curabitur cras scelerisque accusamus posuere tellus ante tellus orci est id felis ultrices elementum eget.,No,,,,Level 3,Prefer not to disclose,,Asian,,Et! Dapibus praesent culpa et rhoncus non aenean ipsum nonummy.,Masters Degree (MS),,No,61,,0
2023-07-28 08:30:46,2023-07-28 08:30:46,Survey Test,,100,0,True,2023-07-28 08:30:46,R_38jclHN62rKJSfQ,,,,,,,test,,I disagree,"At massa fusce elit pharetra dapibus ipsum cras eu consectetuer, imperdiet neque duis pede culpa.",,,,,,,,,,,,,,,,,,,,,,
2023-07-28 08:30:46,2023-07-28 08:30:46,Survey Test,,100,0,True,2023-07-28 08:30:46,R_e5tizVmbG9cVzRc,,,,,,,test,,I disagree,Aliquam. Fringilla lectus ab! Iaculis ac nunc ullamcorper tempus. Ipsum. Duis imperdiet phasellus diam malesuada.,,,,,,,,,,,,,,,,,,,,,,
2023-07-28 08:30:46,2023-07-28 08:30:46,Survey Test,,100,0,True,2023-07-28 08:30:46,R_cC5FM1bgx7ttXFA,,,,,,,test,,I disagree,Faucibus neque phasellus nulla auctor aenean sit tortor. Rhoncus? Metus natoque egestas eleifend.,,,,,,,,,,,,,,,,,,,,,,
2023-07-28 08:30:47,2023-07-28 08:30:47,Survey Test,,100,0,True,2023-07-28 08:30:47,R_diJXCR1Fpvdj0G2,,,,,,,test,,I disagree,Mi nunc a. Tortor faucibus elementum? Euismod imperdiet et. Leo suspendisse massa.,,,,,,,,,,,,,,,,,,,,,,
2023-07-28 08:30:47,2023-07-28 08:30:47,Survey Test,,100,0,True,2023-07-28 08:30:47,R_bIWjkMWsW4fpjEy,,,,,,,test,,I agree,Nulla porta at urna sed. Primis. Ridiculus! Augue suspendisse. Pretium tincidunt.,Paul,Green,Different types of vehicles based on how many driving tasks are controlled by humans vs. machines,"HUMAN, HUMAN, HUMAN, HUMAN",Per! Scelerisque ab quam. Porttitor justo porttitor! Facilisis tellus rhoncus. Sollicitudin ante nullam. Vestibulum.,Metus. Dignissim enim viverra ridiculus eget in nunc aliquet ultrices sagittis culpa dictumst? Est posuere.,No,,,,Level 6,Other (please specify),"Lectus per. Blandit viverra! Elit accumsan etiam facilisis metus, platea accumsan temporibus lorem.",Mixed,,Quam blandit accusamus ipsum duis tincidunt. Nonummy elit! Gravida erat primis.,College Graduate (4 year),,No,40,,0
2023-07-28 08:30:47,2023-07-28 08:30:47,Survey Test,,100,0,True,2023-07-28 08:30:47,R_bOtxKIxYAfkQ6yO,,,,,,,test,,I agree,Metus! Diam. Fusce et scelerisque? Ultrices etiam ultrices proin. Arcu.,Both John and Paul,Purple,Different types of vehicles based on how many driving tasks are controlled by humans vs. machines,"MACHINE, HUMAN, HUMAN, MACHINE",Primis turpis tempus convallis dictumst euismod interdum mauris accumsan ullamcorper nonummy? Felis auctor posuere.,"Convallis dolorem! Faucibus sollicitudin maecenas et, sagittis velit eu! Cursus! Bibendum? Ultricies atque morbi.",No,,,,Level 5,Prefer not to disclose,,White or European,,Phasellus vulputate diam. Sed vel mattis orci interdum sem nonummy.,Masters Degree (MS),,No,62,,0
2023-07-28 08:30:47,2023-07-28 08:30:47,Survey Test,,100,0,True,2023-07-28 08:30:47,R_aXLHtQINk3YD8iy,,,,,,,test,,I agree,"Aenean dolorem. Luctus dapibus et, velit lacus. Elit nunc morbi scelerisque.",John,Green,,,,,,,,,,,,,,,,,,,,
2023-07-28 08:30:48,2023-07-28 08:30:48,Survey Test,,100,0,True,2023-07-28 08:30:48,R_8uZF1fYX9xsv27A,,,,,,,test,,I agree,Augue euismod euismod? Scelerisque. Laoreet sit? Erat sed iaculis. Orci.,Paul,Purple,The number of typical daily tasks controlled by humans vs. machines,"MACHINE, MACHINE, MACHINE, MACHINE","Cras commodo laoreet ante ligula, felis aenean. Praesent commodo? Neque. Dolor ab blandit. Dignissim fringilla.",Aliquam et platea pellentesque sodales molestie. Odio aliquam viverra venenatis magna.,Yes,Level 4,57,Ridiculus luctus porttitor consequat wisi phasellus. Et! Luctus rutrum ligula.,,Other (please specify),"Eu lacus quis consequat diam accumsan auctor dignissim porttitor pretium aenean. Sem, turpis.",Other (please specify),Etiam arcu neque felis turpis? Tincidunt facilisis auctor donec. Rutrum vivamus aliquam.,Porttitor dolor lacus malesuada ac magnis dui fringilla? A enim accumsan atque placerat in. Purus.,Doctoral Degree (PhD),,No,90,,0
2023-07-28 08:30:48,2023-07-28 08:30:48,Survey Test,,100,0,True,2023-07-28 08:30:48,R_8Ak6Zqx8kmxiwkK,,,,,,,test,,I agree,"Egestas purus purus facilisi rhoncus suscipit in dolor praesent volutpat. Enim, phasellus mattis per.",Neither John nor Paul,Purple,The number of typical daily tasks controlled by humans vs. machines,"MACHINE, MACHINE, MACHINE, MACHINE",Vel. Laoreet? Suscipit aenean sapien aliquet fermentum neque sit. In. Ultricies pretium iaculis sagittis.,Egestas! Venenatis volutpat vivamus a pede! Platea amet dictumst nullam blandit justo vehicula dolor.,No,,,,Level 3,Other (please specify),"Atque placerat lorem, volutpat dolorem sapien accumsan montes wisi vehicula facilisis accusamus sit sem.",White or European,,"Per egestas placerat risus, luctus! Nonummy urna volutpat? Dignissim sodales! Magnis ullamcorper! Cursus.",Some College,,No,18,,0
2023-07-28 08:30:48,2023-07-28 08:30:48,Survey Test,,100,0,True,2023-07-28 08:30:48,R_a42LftsU5aMj6jI,,,,,,,test,,I disagree,Lacus. Eleifend posuere dolorem sodales eu ac aliquet pede at leo. Ultrices pharetra mattis suspendisse.,,,,,,,,,,,,,,,,,,,,,,
2023-07-28 08:30:48,2023-07-28 08:30:48,Survey Test,,100,0,True,2023-07-28 08:30:48,R_0Nyv7UJs9iQugjs,,,,,,,test,,I disagree,Nec. Suspendisse nullam egestas risus scelerisque sem. Ab enim! Et orci facilisis volutpat.,,,,,,,,,,,,,,,,,,,,,,
