StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ic,prolific_id,att_1,att_2,automation_1,software_resp_1,software_liable_1,human_resp_1,human_liable_1,comp_1,comp_2,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,education,education_8_TEXT,ai_knowledge_1,workerID,hitID,assignmentId,Tax Auto-Prepare-Tax Co-Prepare
2024-08-28 07:55:56,2024-08-28 07:58:33,0,97.102.225.140,100,157,1,2024-08-28 07:58:34,R_6MMTkonMwEMeIq5,,,,,28.0647,-80.6206,anonymous,EN,1,5fea7e34e1506a5df25419ec,2,5,50,80,80,30,30,2,4,2,,3,,39,4,,70,,,,Tax Co-Prepare
2024-08-28 07:56:23,2024-08-28 07:58:47,0,72.183.136.55,100,144,1,2024-08-28 07:58:48,R_5E6X92llY5jbGJ2,,,,,30.0931,-97.8565,anonymous,EN,1,5ee264fd75927e71d7a6bd5c,2,5,98,74,61,57,60,2,4,1,,3,,51,4,,89,,,,Tax Auto-Prepare
2024-08-28 07:56:44,2024-08-28 07:59:15,0,172.56.17.22,100,151,1,2024-08-28 07:59:15,R_13h8FfvMeOVVyNz,,,,,41.923,-87.7531,anonymous,EN,1,643946adb4e56f6cecb81c14,2,5,40,0,0,100,100,2,4,2,,3,,51,4,,80,,,,Tax Co-Prepare
2024-08-28 07:55:50,2024-08-28 08:00:14,0,24.131.104.243,100,264,1,2024-08-28 08:00:16,R_3pXk9OCQ3RqtneA,,,,,40.1678,-80.2591,anonymous,EN,1,655bb55ae732f18ce1953efe,2,5,90,70,50,51,30,2,4,2,,3,,63,3,,60,,,,Tax Auto-Prepare
2024-08-28 07:58:00,2024-08-28 08:00:26,0,76.251.4.85,100,145,1,2024-08-28 08:00:26,R_7CEK8kcQrOLosVg,,,,,35.2227,-80.7938,anonymous,EN,1,6634ee198d6a0868921d0b23,2,5,88,80,76,55,64,2,4,2,,5,,33,3,,63,,,,Tax Auto-Prepare
2024-08-28 07:58:10,2024-08-28 08:00:34,0,75.90.36.96,100,144,1,2024-08-28 08:00:35,R_6SfvfYGKeFpBoRW,,,,,40.0732,-82.4017,anonymous,EN,1,6618114381a83aefda872635,2,5,20,100,100,0,0,2,4,2,,3,,36,4,,40,,,,Tax Co-Prepare
2024-08-28 07:58:56,2024-08-28 08:00:48,0,98.214.91.67,100,112,1,2024-08-28 08:00:49,R_7qpRzjNEMolSR0u,,,,,39.5992,-86.13,anonymous,EN,1,664b9ce660fb9376b55d0ca0,2,5,65,100,100,0,0,2,4,1,,3,,23,4,,24,,,,Tax Co-Prepare
2024-08-28 07:56:15,2024-08-28 08:00:55,0,67.175.45.246,100,280,1,2024-08-28 08:00:55,R_7GbRBOQ5Q3hWD2p,,,,,42.0107,-87.6657,anonymous,EN,1,656d3cf5c7a413e298817922,2,5,40,55,55,75,75,2,4,2,,2,,45,4,,40,,,,Tax Co-Prepare
2024-08-28 07:58:57,2024-08-28 08:01:26,0,24.53.142.34,100,148,1,2024-08-28 08:01:26,R_6DHI2e0t98bE8qf,,,,,41.7061,-83.7044,anonymous,EN,1,65d6705beca0ca0e4591b824,2,5,80,85,70,61,70,2,4,1,,3,,35,4,,60,,,,Tax Auto-Prepare
2024-08-28 07:58:57,2024-08-28 08:01:41,0,73.248.2.129,100,164,1,2024-08-28 08:01:42,R_7kLM05rk7GzDEYI,,,,,40.0022,-74.7885,anonymous,EN,1,55a91791fdf99b62b606c803,2,5,70,40,40,60,60,2,4,2,,3,,73,5,,40,,,,Tax Co-Prepare
2024-08-28 08:00:14,2024-08-28 08:01:58,0,96.246.218.186,100,103,1,2024-08-28 08:01:59,R_1skaOUzUx6qCDsZ,,,,,40.7503,-74.0014,anonymous,EN,1,5c05fbea1a20110001ea040d,2,5,70,95,93,15,9,2,4,2,,3,,32,4,,80,,,,Tax Co-Prepare
2024-08-28 08:00:13,2024-08-28 08:02:26,0,68.123.131.151,100,132,1,2024-08-28 08:02:27,R_1HH8iEuz5FYrvvb,,,,,42.9778,-87.891,anonymous,EN,1,65bfaad1cc987a92e1031433,2,5,77,88,86,30,50,2,4,1,,3,,44,3,,52,,,,Tax Auto-Prepare
2024-08-28 08:02:24,2024-08-28 08:02:43,0,108.28.233.207,100,18,1,2024-08-28 08:02:44,R_1isB7Lh1VGBTV2X,,,,,39.0258,-77.3983,anonymous,EN,1,6603412311cbee9e33dbf46e,1,5,,,,,,,,,,,,,,,,,,,Tax Co-Prepare
2024-08-28 08:00:32,2024-08-28 08:02:50,0,24.1.166.218,100,137,1,2024-08-28 08:02:51,R_1veHXe8IiRbaYK5,,,,,42.0311,-87.6858,anonymous,EN,1,6632a68dd977c623f763a41a,2,5,80,80,80,20,20,2,4,1,,3,,54,4,,90,,,,Tax Auto-Prepare
2024-08-28 08:00:51,2024-08-28 08:02:56,0,68.5.1.113,100,125,1,2024-08-28 08:02:56,R_6eUZ0uc4ElXf1an,,,,,33.5157,-117.7109,anonymous,EN,1,5e581e6afdb87e03779c6972,2,5,80,96,100,21,27,2,4,3,,3,,27,3,,63,,,,Tax Co-Prepare
2024-08-28 08:00:05,2024-08-28 08:03:27,0,73.155.217.253,100,201,1,2024-08-28 08:03:27,R_6kNSxEzKOax75rL,,,,,29.5183,-95.0977,anonymous,EN,1,6058466a43c6819ea1d84822,2,5,32,71,77,22,24,2,4,2,,3,,33,3,,37,,,,Tax Co-Prepare
2024-08-28 07:59:51,2024-08-28 08:03:29,0,47.205.46.188,100,218,1,2024-08-28 08:03:29,R_1r8Rpm5XC2BYHWC,,,,,27.4503,-82.3763,anonymous,EN,1,546ebcd9fdf99b2bc7ebd030,2,5,72,24,63,66,71,2,4,2,,3,,59,4,,31,,,,Tax Auto-Prepare
2024-08-28 08:02:07,2024-08-28 08:03:51,0,209.6.241.107,100,104,1,2024-08-28 08:03:52,R_1iQef6FNnMsnXeI,,,,,42.2796,-71.1282,anonymous,EN,1,5dd5a50f9c84d85696b549b5,2,5,99,75,75,81,90,2,4,2,,3,,32,5,,37,,,,Tax Auto-Prepare
2024-08-28 08:02:40,2024-08-28 08:04:00,0,185.186.63.46,100,79,1,2024-08-28 08:04:01,R_5ZCyTNWw4S3jjdU,,,,,34.0544,-118.244,anonymous,EN,1,61549a2caa92d84f392000e9,2,5,51,54,51,62,51,1,2,2,,3,,29,4,,49,,,,Tax Co-Prepare
2024-08-28 08:02:36,2024-08-28 08:04:27,0,72.85.63.57,100,111,1,2024-08-28 08:04:27,R_3puy3Zw1319MY5b,,,,,39.2124,-76.8776,anonymous,EN,1,63b8282960711ccb67114f25,2,5,90,40,40,60,60,2,4,2,,3,,31,5,,51,,,,Tax Auto-Prepare
2024-08-28 07:59:54,2024-08-28 08:04:34,0,71.72.21.235,100,279,1,2024-08-28 08:04:35,R_7h5B9aztc7FuMfX,,,,,41.4296,-82.2047,anonymous,EN,1,5c2e2fa00b8ad80001aebf07,2,5,90,75,73,47,33,2,4,1,,1,,24,3,,71,,,,Tax Auto-Prepare
2024-08-28 08:01:06,2024-08-28 08:05:00,0,174.226.205.90,100,234,1,2024-08-28 08:05:01,R_3ONAMl1dbgTS8e6,,,,,39.8238,-86.1407,anonymous,EN,1,545ccfd9fdf99b75ad2e3260,2,5,70,65,61,35,45,2,4,1,,3,,30,3,,60,,,,Tax Co-Prepare
2024-08-28 08:02:12,2024-08-28 08:05:13,0,24.184.30.201,100,181,1,2024-08-28 08:05:14,R_5qX3YZrX42l8Brk,,,,,40.9186,-73.8932,anonymous,EN,1,6660b8a578a4d751427da691,2,5,24,76,67,57,51,2,4,1,,1,,29,5,,83,,,,Tax Auto-Prepare
2024-08-28 08:03:25,2024-08-28 08:05:17,0,98.206.15.64,100,111,1,2024-08-28 08:05:17,R_3cR7VGSXZUThAXf,,,,,42.354,-87.8675,anonymous,EN,1,63e51be13df7cac2d9348a05,2,5,70,70,80,61,35,2,4,1,,3,,27,5,,75,,,,Tax Co-Prepare
2024-08-28 08:02:17,2024-08-28 08:05:23,0,24.224.87.221,100,186,1,2024-08-28 08:05:24,R_75HkSFGkp4t5yMI,,,,,35.4844,-80.7982,anonymous,EN,1,63d2797ee24c80630f3b67e1,2,5,92,18,11,81,81,2,4,1,,3,,45,4,,69,,,,Tax Auto-Prepare
2024-08-28 08:04:55,2024-08-28 08:07:05,0,170.203.167.169,100,129,1,2024-08-28 08:07:05,R_5SeJfZw23r5rd2Q,,,,,41.7088,-85.976,anonymous,EN,1,665a830c0dc9e142e8967f54,2,5,72,65,65,53,52,2,4,2,,3,,24,4,,30,,,,Tax Auto-Prepare
2024-08-28 08:04:34,2024-08-28 08:07:25,0,100.6.42.45,100,170,1,2024-08-28 08:07:25,R_7QKUJ0euJg2xvKD,,,,,40.4242,-79.7658,anonymous,EN,1,60fdc6868c586b87a92a6557,2,5,40,20,20,80,80,2,4,2,,3,,26,4,,35,,,,Tax Co-Prepare
2024-08-28 08:05:05,2024-08-28 08:07:48,0,69.251.1.134,100,162,1,2024-08-28 08:07:48,R_3OxZ6479GssCN0h,,,,,38.5604,-76.0985,anonymous,EN,1,647654b5c93db305ae533763,2,5,73,49,49,51,51,2,4,1,,3,,58,2,,3,,,,Tax Co-Prepare
2024-08-28 08:06:25,2024-08-28 08:08:15,0,97.83.173.188,100,109,1,2024-08-28 08:08:16,R_6GjmDbFFMesqYJt,,,,,44.9656,-89.7066,anonymous,EN,1,661a8296c7e5764e87526bac,2,5,60,70,70,60,60,2,4,2,,3,,45,6,,75,,,,Tax Co-Prepare
2024-08-28 08:06:47,2024-08-28 08:08:23,0,66.176.83.101,100,95,1,2024-08-28 08:08:23,R_74r7bPQa0iNbXTu,,,,,26.6113,-80.1743,anonymous,EN,1,63d3f99561f302545f30279f,2,5,90,85,15,80,80,2,4,1,,3,,31,7,,32,,,,Tax Auto-Prepare
2024-08-28 08:07:03,2024-08-28 08:08:33,0,23.119.169.37,100,90,1,2024-08-28 08:08:34,R_1WVDlpfiMAanm9w,,,,,29.8834,-95.4553,anonymous,EN,1,631bf371cafbcf75cee93374,2,5,65,65,70,60,35,2,1,1,,4,,25,4,,80,,,,Tax Co-Prepare
2024-08-28 08:06:50,2024-08-28 08:08:56,0,147.219.18.25,100,126,1,2024-08-28 08:08:56,R_3ToXZbhlx224hdR,,,,,44.9028,-89.5819,anonymous,EN,1,5c69f6b01b9d0e000190b438,2,5,29,100,100,61,62,2,4,1,,3,,34,3,,60,,,,Tax Co-Prepare
2024-08-28 08:07:27,2024-08-28 08:09:26,0,24.3.188.136,100,119,1,2024-08-28 08:09:27,R_1G2mMhNOT8zHawr,,,,,40.5457,-80.0508,anonymous,EN,1,5c97d5bb41502a0017b3aadf,2,5,75,85,80,65,60,2,4,1,,3,,30,4,,20,,,,Tax Auto-Prepare
2024-08-28 08:07:51,2024-08-28 08:09:30,0,172.59.210.82,100,99,1,2024-08-28 08:09:31,R_7LehxQoVSKs5XS5,,,,,40.734,-74.0712,anonymous,EN,1,62a77211461a1cdbf07b6dd8,2,5,70,20,20,80,80,2,4,1,,3,,46,7,,75,,,,Tax Co-Prepare
2024-08-28 08:08:07,2024-08-28 08:09:32,0,136.226.61.16,100,84,1,2024-08-28 08:09:32,R_5tyxLgkCKqRgq6q,,,,,40.7123,-74.0068,anonymous,EN,1,60fec548df1323f2613a5a18,2,5,87,75,60,63,66,2,4,2,,3,,27,4,,56,,,,Tax Auto-Prepare
2024-08-28 08:03:54,2024-08-28 08:09:42,0,67.235.191.195,100,348,1,2024-08-28 08:09:42,R_3nuU87puOAtlaPi,,,,,29.1254,-82.0076,anonymous,EN,1,5f1f2c053dd3620d41353827,2,5,100,70,40,30,60,2,4,1,,3,,52,3,,20,,,,Tax Auto-Prepare
2024-08-28 08:08:07,2024-08-28 08:09:59,0,73.200.186.41,100,112,1,2024-08-28 08:10:00,R_5DkDa1r3hRidJRL,,,,,39.2124,-76.8776,anonymous,EN,1,5b18248744127b00013f90ce,2,5,50,90,90,15,15,2,4,1,,3,,30,4,,45,,,,Tax Co-Prepare
2024-08-28 08:08:01,2024-08-28 08:10:14,0,166.182.252.103,100,133,1,2024-08-28 08:10:14,R_7EaZdQyPISobn6Z,,,,,35.2296,-80.843,anonymous,EN,1,61719bfec06e3136189edb55,2,5,85,95,30,80,70,2,4,1,,3,,40,4,,75,,,,Tax Co-Prepare
2024-08-28 08:07:50,2024-08-28 08:10:17,0,97.120.7.69,100,146,1,2024-08-28 08:10:17,R_7ulSjDu4kXX4Ljb,,,,,45.5472,-122.6417,anonymous,EN,1,6651064be071e3482a85f01c,2,5,80,80,80,20,20,2,4,1,,4,,45,4,,70,,,,Tax Auto-Prepare
2024-08-28 08:07:36,2024-08-28 08:10:46,0,75.91.84.181,100,190,1,2024-08-28 08:10:47,R_7Ez3LsrnAusz1vw,,,,,30.1784,-83.0309,anonymous,EN,1,62853fe01fa0d21c4daacfcb,2,5,70,90,25,70,75,2,4,1,,1,,27,1,,55,,,,Tax Auto-Prepare
2024-08-28 08:08:55,2024-08-28 08:10:48,0,76.182.75.206,100,113,1,2024-08-28 08:10:49,R_7uIDThcvSnS20Bs,,,,,35.7633,-78.71,anonymous,EN,1,5e87f46328aacd482eaa1525,2,5,38,68,42,70,68,2,4,2,,3,,30,7,,32,,,,Tax Auto-Prepare
2024-08-28 08:06:13,2024-08-28 08:11:41,0,72.238.216.56,100,328,1,2024-08-28 08:11:42,R_3MMI53UmMGzvIRj,,,,,28.3939,-81.4216,anonymous,EN,1,6155bb7bd61da3e93bc842e8,2,5,51,79,84,57,59,2,4,1,,1,,34,4,,77,,,,Tax Auto-Prepare
2024-08-28 08:10:14,2024-08-28 08:11:44,0,204.85.253.242,100,90,1,2024-08-28 08:11:45,R_31Fg4YpAQlPSYfv,,,,,35.9145,-78.9225,anonymous,EN,1,6031ceae5e466a1647a29da7,2,5,82,100,80,78,81,2,4,1,,1,,41,5,,51,,,,Tax Co-Prepare
2024-08-28 08:11:14,2024-08-28 08:12:44,0,208.103.31.94,100,90,1,2024-08-28 08:12:45,R_6Lb4jTLBGf9tJBF,,,,,41.4477,-85.2609,anonymous,EN,1,596c36966956b40001c59d4e,2,5,70,100,100,0,0,2,4,2,,3,,25,4,,31,,,,Tax Auto-Prepare
2024-08-28 08:11:29,2024-08-28 08:13:01,0,192.70.253.13,100,91,1,2024-08-28 08:13:02,R_5TAx0tBIyc6uj7Z,,,,,38.8361,-104.8148,anonymous,EN,1,66769d971af102d5b24e5f8c,2,5,84,82,65,19,28,2,4,2,,3,,19,3,,77,,,,Tax Co-Prepare
2024-08-28 08:10:30,2024-08-28 08:13:15,0,71.50.47.145,100,165,1,2024-08-28 08:13:16,R_6BhpUtVkr1V6o3u,,,,,40.1778,-77.2328,anonymous,EN,1,603586b312863f6333cb8492,2,5,80,100,85,40,45,2,4,2,,3,,39,1,,60,,,,Tax Auto-Prepare
2024-08-28 08:12:46,2024-08-28 08:13:51,0,47.160.163.4,100,65,1,2024-08-28 08:13:52,R_87vfKwAYEzcMm1r,,,,,29.5183,-95.0977,anonymous,EN,1,62951d61147684f43f2c5d5f,2,5,81,100,86,82,82,2,1,1,,2,,36,4,,79,,,,Tax Co-Prepare
2024-08-28 08:12:19,2024-08-28 08:14:04,0,134.74.251.201,100,104,1,2024-08-28 08:14:04,R_62901MBRiS9f0xX,,,,,40.8231,-73.9513,anonymous,EN,1,628bdbc77a9dddcd7f4ed538,2,5,72,81,76,31,38,2,4,1,,2,,22,4,,80,,,,Tax Auto-Prepare
2024-08-28 08:11:57,2024-08-28 08:14:06,0,98.208.26.4,100,129,1,2024-08-28 08:14:07,R_5sTikM8clmdOCSB,,,,,37.815,-121.2108,anonymous,EN,1,668d08202c64c06fc4c0fbd6,2,5,70,40,40,60,60,2,4,2,,3,,40,4,,30,,,,Tax Co-Prepare
2024-08-28 08:12:33,2024-08-28 08:14:14,0,174.210.73.89,100,100,1,2024-08-28 08:14:14,R_7GNqPOg2Em2lCpj,,,,,35.2296,-80.843,anonymous,EN,1,5d7eb63f85d34b0017658143,2,5,76,89,89,9,68,2,4,1,,3,,44,4,,27,,,,Tax Co-Prepare
2024-08-28 08:12:28,2024-08-28 08:14:18,0,24.209.194.75,100,109,1,2024-08-28 08:14:19,R_32xggQVs9vYwGWp,,,,,40.0414,-84.2023,anonymous,EN,1,5fb3cbedb3cc10000a19c09d,2,5,80,100,100,60,60,2,4,2,,3,,44,3,,20,,,,Tax Auto-Prepare
2024-08-28 08:11:17,2024-08-28 08:14:51,0,99.137.76.138,100,214,1,2024-08-28 08:14:52,R_7lGlqcoupTuCNbj,,,,,32.4984,-85.0184,anonymous,EN,1,6675e329aeca56dd306cb6ca,2,5,100,100,100,0,0,2,4,2,,3,,37,3,,100,,,,Tax Auto-Prepare
2024-08-28 08:13:37,2024-08-28 08:15:13,0,192.240.59.181,100,95,1,2024-08-28 08:15:14,R_64xd7dZ064M1abQ,,,,,37.8594,-86.0019,anonymous,EN,1,60c770aa2d2928bfda4c7cd4,2,5,98,100,100,0,0,2,4,1,,3,,64,4,,71,,,,Tax Auto-Prepare
2024-08-28 08:13:14,2024-08-28 08:15:24,0,204.84.120.2,100,130,1,2024-08-28 08:15:25,R_5c8xZvf5PlafxRT,,,,,36.0406,-80.26,anonymous,EN,1,64db7a4850be99df7d90917f,2,5,39,84,94,54,28,2,4,2,,1,,46,4,,26,,,,Tax Co-Prepare
2024-08-28 08:13:42,2024-08-28 08:15:26,0,108.147.92.84,100,103,1,2024-08-28 08:15:26,R_34O57JLUoHNrWac,,,,,41.85,-87.7165,anonymous,EN,1,5dd55652f30aa650f027e1c2,2,5,80,0,0,100,100,2,4,1,,1,,27,4,,60,,,,Tax Auto-Prepare
2024-08-28 08:13:18,2024-08-28 08:15:27,0,74.67.79.147,100,129,1,2024-08-28 08:15:28,R_134BNxztRRzTWgN,,,,,42.3454,-75.7357,anonymous,EN,1,5589cdf8fdf99b18bd86d031,2,5,90,70,70,30,40,2,4,1,,6,Native American,52,2,,64,,,,Tax Auto-Prepare
2024-08-28 08:13:48,2024-08-28 08:15:50,0,172.59.74.70,100,122,1,2024-08-28 08:15:51,R_1FhJRshGNInJ1QJ,,,,,39.0353,-94.4636,anonymous,EN,1,632a431da6f161fcb809ed01,2,5,85,33,32,65,68,2,4,1,,4,,54,4,,79,,,,Tax Co-Prepare
2024-08-28 08:11:49,2024-08-28 08:16:18,0,76.86.88.140,100,269,1,2024-08-28 08:16:18,R_5GVTfPOY4DFDqQH,,,,,34.11,-117.2955,anonymous,EN,1,5f158dd686fcde6582e94335,2,5,81,0,0,2,2,2,4,2,,3,,43,4,,51,,,,Tax Auto-Prepare
2024-08-28 08:13:55,2024-08-28 08:16:36,0,174.212.37.77,100,160,1,2024-08-28 08:16:37,R_3dTgNI1gyrCnlVb,,,,,28.5436,-81.3738,anonymous,EN,1,5c30417cc9b67b000130fa69,2,5,76,86,96,60,25,2,4,2,,3,,32,5,,35,,,,Tax Co-Prepare
2024-08-28 08:11:08,2024-08-28 08:16:41,0,68.101.24.250,100,333,1,2024-08-28 08:16:42,R_7edFpYPLBkHa4sp,,,,,30.7806,-86.4965,anonymous,EN,1,58cd449293499d00013488fe,2,5,56,66,66,100,100,2,4,1,,3,,62,3,,9,,,,Tax Co-Prepare
